,날짜,언론사,제목,sentiment
0,2022.01.14,한국경제,"머스크 ""도지코인, 테슬라 결제 시작""…순식간에 20% 폭등",1
1,2022.01.14,조선비즈,"테슬라, 전기 픽업트럭 생산 또 연기…“2022년 생산” 홈피 문구 삭제",0
3,2022.01.14,이데일리,10대 독일 청년 “13개국서 테슬라 차량 25대 원격 해킹”,0
4,2022.01.14,디지털데일리,10대 해커에 뚫린 테슬라…원격시동에 차량문 개폐,0
6,2022.01.14,한국경제TV,금리인상 우려·빅테크 급락에 美증시 하락…테슬라 6%↓ [출근전 꼭 글로벌브리핑],0
8,2022.01.14,ZDNet Korea,"일론 머스크 ""테슬라 인도 시장 진출, 과제 산적""",1
18,2022.01.14,뉴스1,기술주 매도세 다시 살아나…테슬라 7% 가까이 급락(상보),0
19,2022.01.14,더팩트,"뉴욕증시, 금리인상 우려에 테슬라 등 기술주 하락…나스닥 2.5%↓",0
20,2022.01.14,지피코리아,"테슬라 '모델S' 요크 스티어링 휠, 애프터마켓 등장",1
21,2022.01.14,쿠키뉴스,기술주 매도세에 뉴욕증시 하락…테슬라 6.7%↓,0
23,2022.01.14,중앙일보,연준 '매파 변신' 우려에 美증시 급락...테슬라 6.8% MS 4.2%↓,0
26,2022.01.14,머니투데이,"""금리인상 부담"" 나스닥 2.5% 급락...테슬라 6.7%↓[뉴욕마감]",0
27,2022.01.14,AI타임스,"빨간불 켜진 테슬라, 자율주행 안전 규제 대상 올라",0
28,2022.01.14,SBS Biz,[김대호 박사의 오늘의 키워드] PPI 물가폭탄·테슬라 해킹·초과세수 착각·회색코뿔소·국민연금 고갈,0
29,2022.01.14,글로벌경제,"테슬라 6.7%, MS 4.2% 엔비디아 5% 급락...뉴욕증시, 일제히 하락",0
30,2022.01.14,베타뉴스,"테슬라, 전기차 경쟁에서 폭스바겐 압도…지난해 판매대수 2배 이상",1
32,2022.01.14,뉴스1,"[속보] 테슬라 6.75% 급락, 1031.56 달러에 마감",0
33,2022.01.14,디지털데일리,"미국 증시, 또 다시 금리인상 우려…테슬라·리비안 등 전기차 큰 폭 하락",0
34,2022.01.14,더구루,현대차 '코나EV' 캐나다 전기차 판매 '2위'…테슬라 '독주',1
41,2022.01.14,뉴스투데이,"[N2 모닝 경제 브리핑-1월 14일] 美 증시, PPI 하회 속 하락...테슬라, 사이버트럭 출시 지연에 6%대 급락",0
44,2022.01.14,글로벌이코노믹,테슬라 와르르 급락 전기차 무더기 해킹 뉴욕증시 암호화폐 빅테크 휘청,0
49,2022.01.14,핀포인트뉴스,다우지수 나스닥지수 '와르르'... 테슬라 6%↓ 삼성SDI LG화학 SK이노베이션 초비상?,0
51,2022.01.14,초이스경제,"뉴욕증시 마감 40분전...테슬라·엔비디아·애플·Virgin Galactic '급락', 美10년물금리 1.702%",0
52,2022.01.14,초이스경제,뉴욕증시 나스닥100 '추락'...바이오젠 '급등' vs MRVL·JD닷컴·테슬라·모더나·엔비디아 '급락',0
54,2022.01.14,초이스경제,"미국증시 마감 약 1시간전...나스닥 '급락', MSFT ·아마존· 테슬라 '급락' vs TSM · 델타항공 '급등'",0
100,2022.01.14,서울경제TV,"지니언스, 테슬라 차량 해킹 당해…정보 보안 국내 플랫폼 1위 관심↑",0
254,2022.01.14,조선비즈,"테슬라, 전기 픽업트럭 생산 또 연기…“2022년 생산” 홈피 문구 삭제",0
255,2022.01.14,뉴스1,"""테슬라, 전기 픽업트럭 '사이버트럭' 생산 내년 초로 미뤄""-로이터",0
256,2022.01.14,이투데이,"“테슬라 사이버트럭, 올해도 생산 못한다”...내년으로 또 연기",0
257,2022.01.14,연합뉴스,"""테슬라 전기픽업 '사이버트럭' 생산 내년 1분기로 또 연기""",0
258,2022.01.14,전자신문,"""호루라기도 만들더니""…테슬라, 사이버트럭 올해 출시 계획 '슬쩍' 삭제",0
259,2022.01.14,블로터,"올해 낸다더니...테슬라 ‘사이버트럭’, 생산 또 연기되나",0
260,2022.01.14,엠투데이,"테슬라, 사이버트럭 출시 2023년 1분기로 또 연기",0
261,2022.01.14,MBC,"""테슬라 전기픽업 '사이버트럭' 생산 내년 1분기로 또 연기""",0
262,2022.01.14,디지털데일리,"테슬라, ‘사이버트럭’ 또 연기…2023년 1분기 생산",0
263,2022.01.14,데일리카,"테슬라 사이버트럭, 양산 2023년 1분기로 연기..경쟁서 뒤쳐지나",0
264,2022.01.14,글로벌이코노믹,테슬라 주가 급락 두가지 이유는?…해킹과 사이버트럭 생산 지연,0
266,2022.01.14,케이벤치,테슬라 전기 픽업트럭 '사이버트럭' 올해 출시 물건너가나? 생산일정 삭제,0
267,2022.01.14,헤럴드경제,"‘언제까지 기다려’…테슬라 사이버트럭, 2023년 1분기로 또 출시 연기 [나우,어스]",0
268,2022.01.14,연합인포맥스,"배런스 ""테슬라 주가 하락, 사이버트럭 때문만은 아냐""",0
269,2022.01.14,글로벌이코노믹,"[단독] 테슬라, 사이버트럭 양산 ‘2023년 1분기’로 연기",0
270,2022.01.14,매일경제TV,"테슬라, 전기픽업 '사이버트럭' 생산 내년 1분기로 미뤄",0
302,2022.01.14,한국경제TV,금리인상 우려·빅테크 급락에 美증시 하락…테슬라 6%↓ [출근전 꼭 글로벌브리핑],0
397,2022.02.18,조선일보,"“테슬라 가다가 갑자기 선다”... 美 당국, 42만대 조사 착수",0
398,2022.02.18,조선비즈,추락하는 테슬라...포드 ‘머스탱 마하-E’에 최고 전기車 자리 내줘,0
399,2022.02.18,아시아경제,"조용할 날 없는 테슬라…""'정부 비판' 머스크 입 막으려 조사""",0
401,2022.02.18,미주중앙일보,테슬라 '급정지' 조사…9개월간 불만 354건,0
402,2022.02.18,뉴스1,"버핏의 파트너 찰리 멍거 ""테슬라 결국 실패할 것""",0
403,2022.02.18,SBS Biz,美서 체면 구긴 테슬라…애플 사랑 커지는 中,0
404,2022.02.18,매일경제,"뉴욕증시, 미 SEC 맞선 머스크에 테슬라 급락…나스닥 2.88%↓",0
405,2022.02.18,한국금융신문,"테슬라, 기술결함 논란에 과장광고…신생기업 약점 보였나",0
406,2022.02.18,허프포스트코리아,테슬라 CEO 일론 머스크의 스타트업 기업 '뉴럴링크'가 원숭이 학대 논란에 휩싸였다 (영상),0
407,2022.02.18,매일경제,"뉴욕증시, 미 SEC 맞선 머스크에 테슬라 급락…나스닥 2.88%↓",0
408,2022.02.18,디지털데일리,"美, 테슬라 ‘유령제동’ 조사 착수…총 41만6000대",0
